vehicle_rep1.bam	vehicle_rep2.bam	drug_rep1.bam	drug_rep2.bam
PF3D7_1031000	20	60	13	12
PF3D7_0527900	153	181	234	217
PF3D7_0513600	1586	1672	1914	1968
PF3D7_0115500	0	0	0	0
PF3D7_0315900	4	9	2	2
PF3D7_0718400	283	365	601	617
PF3D7_1464200	29	25	45	55
PF3D7_1430400	23	21	40	31
PF3D7_1225700	105	57	80	112
PF3D7_0426000	1	5	2	5
PF3D7_1301100	0	0	0	0
PF3D7_0522200	128	132	105	128
PF3D7_0301200	5	3	19	18
PF3D7_1345500	54	72	73	94
PF3D7_0518200	319	347	224	215
PF3D7_1102800	368	307	930	1031
PF3D7_1235000	18	72	66	70
PF3D7_1128100	461	413	288	341
PF3D7_1418700	0	0	0	0
PF3D7_0809500	62	45	43	53
PF3D7_0614600	5	0	2	5
PF3D7_0215500	133	122	161	204
PF3D7_0208900	5	9	10	12
PF3D7_1228300	453	395	326	367
PF3D7_1210200	1	0	2	3
PF3D7_API03400	0	0	0	0
PF3D7_1340400	0	4	0	0
PF3D7_0201300	0	0	0	0
PF3D7_1148700	73	18	318	406
PF3D7_1247700	10	21	20	25
